County / Sub-County,Conventional Households,"Stand - alone
Radio","Desk Top
Computer/
Laptop/ Tablet","Functional
Television","Analogue
Television",Internet ,Bicycle, Motor Cycle ,Refrigerator, Car,"Truck/ Lorry/
Bus/ Three
Wheeler truck",Tuk Tuk
LOIMA,19139,7.2,0.5,1.6,0.4,0.9,3.2,3.5,0.2,0.5,0.3,0.3
TURKANA CENTRAL,37917,23.9,4.9,17.6,1.5,8.4,5.2,9.4,6,3.1,0.6,0.3
TURKANA EAST,17887,13.6,0.9,3.4,0.4,1.4,3.3,2.7,0.6,0.7,0.3,0.3
TURKANA NORTH,12964,4.9,0.7,1.9,0.3,1.8,1.2,1.7,0.4,0.4,0.4,0.2
TURKANA SOUTH,24281,10.9,1.7,5.9,0.7,4,5.8,5.8,0.9,1.1,0.5,0.4
TURKANA WEST,44740,7.5,1.7,6,1.2,5.1,4.6,3.1,0.8,0.9,0.5,0.6
WEST POKOT,115761,33.8,1.4,9.7,1,3.5,3.2,5.8,0.6,1.6,0.4,0.3
KIPKOMO,18367,38.6,1.1,8.6,0.8,3.3,2.3,5.8,0.5,1.5,0.4,0.2
POKOT CENTRAL,21784,21.8,0.4,2.5,0.3,1.5,1,3.1,0.1,0.6,0.2,0.3
POKOT NORTH,25736,18.6,0.6,2.9,0.5,2,4.2,5.6,0.1,0.6,0.3,0.3
POKOT SOUTH,13752,55.5,0.5,6.8,0.7,2.5,0.8,4.3,0.1,1.2,0.3,0.2
WEST POKOT,36122,41.1,3.1,20.6,1.9,6.4,5.4,8.1,1.6,3.1,0.6,0.3
SAMBURU,63951,29.4,3.2,13.5,1.7,6.8,5.1,6.5,1.8,2.6,0.6,0.4
SAMBURU CENTRAL,33720,41.8,4.4,18.8,2.7,9.1,7.4,8.4,2.5,3.7,0.7,0.3
SAMBURU EAST,17307,17.3,2.2,9.1,0.7,5.2,2.5,5.2,1.4,1.7,0.4,0.4
SAMBURU NORTH,12924,13.1,1.2,5.6,0.5,2.8,2.4,3.6,0.5,1.1,0.3,0.4
TRANS NZOIA,222989,57.3,4.9,34.3,4.2,11,20.6,12.7,3.7,4.9,0.9,0.4
TRANS NZOIA WEST,47576,52.5,5.1,36.4,3.8,13.7,14.6,10.3,3.4,3.8,0.7,0.3
TRANS NZOIA EAST,49955,60.7,3.2,28.9,3.9,6.1,18.8,12.8,1.9,4.5,0.8,0.3
KWANZA,45599,60.1,4.4,34.6,4.1,10.5,25,14.5,3.3,4.3,0.9,0.3
ENDEBESS,23246,46.5,1.6,18.2,3.1,4.6,14.8,11.6,0.7,1.7,0.5,0.3
KIMININI,56613,60.7,8.1,43.5,5.4,16,26.2,13.6,6.9,7.8,1.1,0.6
UASIN GISHU,301110,60.1,10.1,47.3,5.3,20.4,18.2,10.4,8.3,8.5,1.2,0.3
AINABKOI,34862,64.9,12.4,48.8,5.5,22,16,9.8,11.9,11.5,1.6,0.3
KAPSERET,59678,57.7,14.6,55,6,28.2,18.3,8.8,11.7,10.7,1.3,0.4
KESSES,34623,63,7.7,37.2,3.5,14.5,13.6,9.7,4.7,7.2,1,0.3
MOIBEN,46602,63,11.5,48.2,5,21.4,17.8,11.3,8.2,9.3,1.3,0.4
SOY,53758,57.6,5.2,38,4.5,11.5,23.8,13.2,3.7,5.9,1.1,0.3
TURBO,71587,58.3,9.1,51.4,6.1,21.7,17.6,9.7,9,7.3,1,0.3
ELGEYO/MARAKWET,99119,52.7,2,17.5,1.8,5,3.7,6.9,1.1,3.1,0.7,0.3
KEIYO NORTH,21749,55.5,4.3,28.8,3,9.4,6.2,7.6,2.7,5.2,0.7,0.3
KEIYO SOUTH,26740,62.2,1.9,21.1,2.4,5.3,5.9,7.6,1.1,4,0.8,0.3
MARAKWET EAST,21123,34.5,0.7,5.1,0.5,2,0.5,3.9,0.3,1.2,0.3,0.2
MARAKWET WEST,29507,55,1.4,14.6,1.5,3.6,2.1,7.8,0.5,2.3,0.7,0.2
NANDI,199040,60.3,3.6,27.1,3.1,8.8,10.7,11.1,2.4,4.4,0.6,0.3
CHESUMEI,39011,63,5.5,35.7,3.5,12.5,15.2,11.8,3.9,6.2,0.7,0.3
NANDI CENTRAL,34247,60.7,4.9,33.5,3.6,11.2,11.9,11.7,3.7,5.3,0.7,0.3
NANDI EAST,29249,62,3.6,26.6,2.9,10.7,5.9,9.4,2.3,4.2,0.6,0.2
NANDI NORTH,35257,58.7,2.3,23.6,3.6,6.3,15.9,14.1,1.2,4.1,0.6,0.3
NANDI SOUTH,37038,59.6,2.4,23.4,2.5,5.4,8.2,10,1.6,3.3,0.4,0.3
TINDERET,24238,57,2,15.7,1.7,6,4.2,8.3,0.9,2.2,0.3,0.2
BARINGO,141877,51.8,3.2,23,2.9,8.2,7.1,8.2,1.9,4.1,0.6,0.3
BARINGO CENTRAL,23523,62.2,6.1,33.2,4.4,13.9,3.8,6.3,3.7,6.7,0.7,0.2
BARINGO NORTH,23345,53.9,1.8,16.1,2.2,4.3,3.5,5.9,0.8,2.7,0.3,0.2
EAST POKOT,14392,14.3,1,3.1,0.6,2.1,1.8,3.5,0.3,0.7,0.5,0.5
KOIBATEK,30752,65.5,4.7,39,5.1,13.3,6.4,8.5,3.1,6.5,0.9,0.3
MARIGAT,19658,53.1,2.1,18.4,1.9,6.8,8,11,1.2,2.3,0.4,0.3
MOGOTIO,18169,61.4,3.1,24.6,2.7,7.8,21.5,15.6,2.1,5.2,0.6,0.2
TIATY EAST,12038,20.4,0.7,3.8,0.4,2.1,5,5.3,0.2,1,0.4,0.3
LAIKIPIA,145776,63.3,6.9,44.4,4.7,17.5,21.1,13.3,5.2,6.4,0.9,0.4
LAIKIPIA CENTRAL,29877,72,7.6,53.8,5.4,22.8,24.1,16.2,5.8,8.1,1,0.5
LAIKIPIA EAST,31311,58,10.9,54.2,6.1,24.4,18.2,11.8,10.4,9.1,1,0.5
LAIKIPIA NORTH,7694,34.8,1.8,9.2,0.7,3,3.8,9.9,0.6,2.2,0.5,0.3
LAIKIPIA WEST,32821,58.8,2.6,29.8,2.9,8.2,30.8,15.5,1.4,3.4,0.6,0.3
NYAHURURU,44073,69.6,7.6,48,5.2,18.3,17,11.3,4.9,6.4,0.9,0.3
NAKURU,598237,61.1,9.6,52.5,5.7,20.9,19.1,10.9,8.9,7.1,1,0.4
GILGIL,49405,65.1,9,52.1,6.1,20.5,24.7,12.9,8.7,7.6,1.2,0.4
